id_sensor,timestamp,temperatura,humedad,pm25
EST-001,2026-03-02 00:00,11.0,80.3,14.7
EST-001,2026-03-02 01:00,11.1,84.9,14.5
EST-001,2026-03-02 02:00,10.5,81.7,12.5
EST-001,2026-03-02 03:00,10.7,83.9,13.4
EST-001,2026-03-02 04:00,11.9,84.3,12.2
EST-001,2026-03-02 05:00,11.4,84.7,10.5
EST-001,2026-03-02 06:00,12.8,76.6,28.9
EST-001,2026-03-02 07:00,13.6,74.4,28.9
EST-001,2026-03-02 08:00,14.5,77.1,32.4
EST-001,2026-03-02 09:00,14.6,72.3,10.5
EST-001,2026-03-02 10:00,16.6,69.1,11.0
EST-001,2026-03-02 11:00,17.3,70.3,12.2
EST-001,2026-03-02 12:00,17.9,63.2,11.2
EST-001,2026-03-02 13:00,20.0,63.0,13.9
EST-001,2026-03-02 14:00,19.9,57.9,10.3
EST-001,2026-03-02 15:00,19.0,64.2,14.5
EST-001,2026-03-02 16:00,18.3,66.8,14.8
EST-001,2026-03-02 17:00,17.5,70.1,32.2
EST-001,2026-03-02 18:00,16.1,70.2,33.1
EST-001,2026-03-02 19:00,15.1,73.2,31.9
EST-001,2026-03-02 20:00,12.8,74.8,8.4
EST-001,2026-03-02 21:00,-999,74.1,11.3
EST-001,2026-03-02 22:00,11.1,80.8,14.7
EST-001,2026-03-02 23:00,10.3,ERR,10.6
EST-002,2026-03-02 00:00,10.1,82.7,10.3
EST-002,2026-03-02 01:00,12.1,83.5,12.8
EST-002,2026-03-02 02:00,10.5,83.5,14.3
EST-002,2026-03-02 03:00,9.8,ERR,12.8
EST-002,2026-03-02 04:00,11.5,80.7,10.9
EST-002,2026-03-02 05:00,10.0,84.6,7.5
EST-002,2026-03-02 06:00,11.1,81.0,30.3
EST-002,2026-03-02 07:00,11.9,78.7,29.6
EST-002,2026-03-02 08:00,15.1,75.2,30.2
EST-002,2026-03-02 09:00,15.7,73.3,10.2
EST-002,2026-03-02 10:00,17.0,70.5,9.8
EST-002,2026-03-02 11:00,16.5,67.3,11.1
EST-002,2026-03-02 12:00,-999,64.3,12.3
EST-002,2026-03-02 13:00,19.6,61.9,14.1
EST-002,2026-03-02 14:00,20.6,57.3,9.2
EST-002,2026-03-02 15:00,18.8,61.6,9.2
EST-002,2026-03-02 16:00,18.0,62.2,11.6
EST-002,2026-03-02 17:00,17.9,66.8,33.3
EST-002,2026-03-02 18:00,17.1,68.4,32.5
EST-002,2026-03-02 19:00,14.3,72.9,31.2
EST-002,2026-03-02 20:00,14.9,72.5,12.7
EST-002,2026-03-02 21:00,12.4,79.4,14.5
EST-002,2026-03-02 22:00,13.1,78.1,12.3
EST-002,2026-03-02 23:00,10.6,82.2,12.8
EST-003,2026-03-02 00:00,10.0,84.6,11.8
EST-003,2026-03-02 01:00,11.0,79.3,14.4
EST-003,2026-03-02 02:00,10.0,82.0,10.6
EST-003,2026-03-02 03:00,10.2,84.9,15.9
EST-003,2026-03-02 04:00,11.7,82.9,12.0
EST-003,2026-03-02 05:00,12.1,83.1,8.4
EST-003,2026-03-02 06:00,11.4,81.6,29.7
EST-003,2026-03-02 07:00,13.8,75.6,31.7
EST-003,2026-03-02 08:00,14.6,77.4,30.9
EST-003,2026-03-02 13:00,20.1,64.0,10.9
EST-003,2026-03-02 14:00,19.3,60.6,10.3
EST-003,2026-03-02 15:00,18.9,64.4,9.2
EST-003,2026-03-02 16:00,17.2,67.5,9.5
EST-003,2026-03-02 17:00,16.2,65.2,35.8
EST-003,2026-03-02 18:00,15.4,70.9,34.0
EST-003,2026-03-02 19:00,15.1,75.1,31.2
EST-003,2026-03-02 20:00,13.6,73.4,9.2
EST-003,2026-03-02 21:00,12.3,78.0,13.9
EST-003,2026-03-02 22:00,12.1,76.7,10.0
EST-003,2026-03-02 23:00,-999,84.1,12.1
EST-004,2026-03-02 00:00,11.0,79.9,13.9
EST-004,2026-03-02 01:00,10.8,81.4,12.0
EST-004,2026-03-02 02:00,11.5,85.0,10.4
EST-004,2026-03-02 03:00,10.7,81.0,9.4
EST-004,2026-03-02 04:00,10.0,83.4,15.8
EST-004,2026-03-02 05:00,10.7,83.4,10.5
EST-004,2026-03-02 06:00,12.5,81.8,30.0
EST-004,2026-03-02 07:00,13.8,75.1,28.1
EST-004,2026-03-02 08:00,13.3,74.0,32.6
EST-004,2026-03-02 09:00,14.5,72.7,11.7
EST-004,2026-03-02 10:00,16.2,70.0,9.8
EST-004,2026-03-02 11:00,17.6,66.1,10.2
EST-004,2026-03-02 12:00,17.5,63.0,12.6
EST-004,2026-03-02 13:00,20.1,64.2,11.0
EST-004,2026-03-02 14:00,20.4,63.0,15.8
EST-004,2026-03-02 15:00,17.9,61.8,12.7
EST-004,2026-03-02 16:00,18.3,65.6,13.6
EST-004,2026-03-02 17:00,18.0,66.8,33.9
EST-004,2026-03-02 18:00,17.2,72.0,34.5
EST-004,2026-03-02 19:00,14.5,70.9,32.2
EST-004,2026-03-02 20:00,13.9,75.8,11.6
EST-004,2026-03-02 21:00,11.9,77.4,12.2
EST-004,2026-03-02 22:00,11.3,77.4,12.5
EST-004,2026-03-02 23:00,12.0,84.9,12.8
EST-005,2026-03-02 00:00,11.6,81.7,13.7
EST-005,2026-03-02 01:00,11.0,80.1,13.8
EST-005,2026-03-02 02:00,9.9,81.6,12.1
EST-005,2026-03-02 03:00,11.0,80.7,13.3
EST-005,2026-03-02 04:00,10.4,80.2,12.5
EST-005,2026-03-02 05:00,9.9,81.2,14.1
EST-005,2026-03-02 06:00,12.0,82.1,28.2
EST-005,2026-03-02 07:00,13.9,79.1,29.7
EST-005,2026-03-02 08:00,14.7,75.8,32.3
EST-005,2026-03-02 09:00,16.0,74.5,10.9
EST-005,2026-03-02 10:00,17.1,71.6,11.6
EST-005,2026-03-02 11:00,16.8,68.2,14.2
EST-005,2026-03-02 12:00,19.0,63.2,14.6
EST-005,2026-03-02 13:00,19.4,65.4,10.4
EST-005,2026-03-02 14:00,20.8,60.5,10.0
EST-005,2026-03-02 15:00,19.9,65.2,10.7
EST-005,2026-03-02 16:00,17.6,67.7,11.3
EST-005,2026-03-02 17:00,-999,65.5,36.9
EST-005,2026-03-02 18:00,16.9,67.4,34.9
EST-005,2026-03-02 19:00,15.4,74.2,29.1
EST-005,2026-03-02 20:00,14.7,75.9,10.5
EST-005,2026-03-02 21:00,14.2,74.4,15.5
EST-005,2026-03-02 22:00,12.3,78.4,11.4
EST-005,2026-03-02 23:00,11.2,81.3,12.2
EST-006,2026-03-02 00:00,11.8,79.5,12.4
EST-006,2026-03-02 01:00,11.5,83.0,9.7
EST-006,2026-03-02 02:00,12.1,79.5,8.9
EST-006,2026-03-02 03:00,11.1,79.9,12.7
EST-006,2026-03-02 04:00,-999,79.8,15.3
EST-006,2026-03-02 05:00,10.1,84.0,9.4
EST-006,2026-03-02 06:00,11.4,81.8,30.0
EST-006,2026-03-02 07:00,13.5,75.4,30.7
EST-006,2026-03-02 08:00,13.6,72.3,27.4
EST-006,2026-03-02 09:00,15.6,72.9,12.3
EST-006,2026-03-02 10:00,15.4,67.5,12.4
EST-006,2026-03-02 11:00,17.5,64.6,8.9
EST-006,2026-03-02 12:00,19.1,67.8,10.7
EST-006,2026-03-02 13:00,18.0,63.0,11.7
